"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","8,434.68","8,446.62","8,457.39","8,421.05","559.52M","0.02%"
"Nov 04, 2019","8,433.20","8,445.50","8,451.37","8,421.30","555.69M","0.56%"
"Nov 01, 2019","8,386.40","8,335.05","8,386.75","8,326.56","519.42M","1.13%"
"Oct 31, 2019","8,292.36","8,314.38","8,321.80","8,248.81","608.63M","-0.14%"
"Oct 30, 2019","8,303.98","8,284.28","8,315.50","8,241.70","484.37M","0.33%"
"Oct 29, 2019","8,276.85","8,313.35","8,319.29","8,275.14","468.38M","-0.59%"
"Oct 28, 2019","8,325.99","8,285.77","8,335.56","8,285.27","488.91M","1.01%"
"Oct 25, 2019","8,243.12","8,150.59","8,249.97","8,150.59","475.98M","0.70%"
"Oct 24, 2019","8,185.80","8,180.04","8,187.84","8,137.66","468.72M","0.81%"
"Oct 23, 2019","8,119.79","8,090.24","8,122.89","8,078.35","457.42M","0.19%"
"Oct 22, 2019","8,104.30","8,188.12","8,194.62","8,101.98","463.31M","-0.72%"
"Oct 21, 2019","8,162.99","8,137.42","8,164.14","8,117.26","482.28M","0.91%"
"Oct 18, 2019","8,089.54","8,149.85","8,157.36","8,045.38","559.75M","-0.83%"
"Oct 17, 2019","8,156.85","8,176.91","8,183.64","8,131.25","488.85M","0.40%"
"Oct 16, 2019","8,124.18","8,119.81","8,146.15","8,103.38","470.30M","-0.30%"
"Oct 15, 2019","8,148.71","8,074.85","8,166.18","8,071.81","447.40M","1.24%"
"Oct 14, 2019","8,048.65","8,044.35","8,069.85","8,036.41","380.78M","-0.10%"
